Station ID,Value,DateTime,Rainfall (mm),Quality Code
4854009, 18.00,20220111 0000, 0.0, 1
4854009, 18.00,20220111 0100, 0.0, 1
4854009, 18.00,20220111 0200, 0.0, 1
4854009, 18.00,20220111 0300, 0.0, 1
4854009, 18.00,20220111 0400, 0.0, 1
4854009, 18.00,20220111 0500, 0.0, 1
4854009, 18.00,20220111 0600, 0.0, 1
4854009, 18.00,20220111 0700, 0.0, 1
4854009, 18.00,20220111 0800, 0.0, 1
4854009, 18.00,20220111 0900, 0.0, 1
4854009, 18.00,20220111 1000, 0.0, 1
4854009, 18.00,20220111 1100, 0.0, 1
4854009, 18.00,20220111 1200, 0.0, 1
4854009, 18.00,20220111 1300, 0.0, 1
4854009, 18.00,20220111 1400, 0.0, 1
4854009, 18.00,20220111 1500, 0.0, 1
4854009, 18.00,20220111 1600, 0.0, 1
4854009, 18.00,20220111 1700, 0.0, 1
4854009, 18.00,20220111 1800, 0.0, 1
4854009, 18.00,20220111 1900, 0.0, 1
4854009, 18.00,20220111 2000, 0.0, 1
4854009, 18.00,20220111 2100, 0.0, 1
4854009, 18.00,20220111 2200, 0.0, 1
4854009, 18.00,20220111 2300, 0.0, 1
4854009, 18.00,20220112 0000, 0.0, 1
4854009, 18.00,20220112 0100, 0.0, 1
4854009, 18.00,20220112 0200, 0.0, 1
4854009, 18.00,20220112 0300, 0.0, 1
4854009, 18.00,20220112 0400, 0.0, 1
4854009, 18.00,20220112 0500, 0.0, 1
